name,line,lat,lon,type
Gidrometsentr,,41.3266916,69.2918761,bus
,,41.3273114,69.2912728,bus
Геологоразведка,,41.3338842,69.2846297,bus
,,41.3335778,69.2834273,bus
Mirobod bozori,,41.290293,69.2740651,bus
Абдулла Набиев,,41.3493296,69.228536,bus
Бюро пропусков Ташкент Аэропорт,,41.2683541,69.2685824,bus
,,41.2684543,69.2683102,bus
дока хлеб,,41.2966483,69.3526696,bus
,,41.3253899,69.3232969,bus
,,41.3400898,69.33549,bus
Малика остановка,,41.3399987,69.2702741,bus
Поликлиника №5,,41.3164632,69.2922847,bus
,,41.3010926,69.2076029,bus
,,41.3012426,69.2073106,bus
"фабрика ""Сувенир""",,41.3039952,69.2058209,bus
Chilonzor SM,,41.2838134,69.2242733,bus
Madaniyat instituti,,41.3470558,69.3481365,bus
Фрунзинский торговый центр,,41.2859316,69.2544112,bus
Toshkent vokzali,,41.2928686,69.2857936,bus
,,41.2933551,69.2791921,bus
Улица Зулфияхоним,,41.331823,69.2634072,bus
Улица Зулфияхоним,,41.3324144,69.2635768,bus
,,41.3451196,69.2699725,bus
,,41.3463294,69.2676787,bus
,,41.3469087,69.2671088,bus
,,41.3489411,69.2634736,bus
,,41.349648,69.262485,bus
,,41.3583578,69.2424455,bus
,,41.3608451,69.2390413,bus
,,41.3614241,69.2420636,bus
,,41.366987,69.2403469,bus
,,41.3672298,69.2364279,bus
,,41.3673771,69.2362593,bus
,,41.2717862,69.1770124,bus
,,41.3547445,69.2542696,bus
Chilonzor 1-mavzesi,,41.285498,69.2339949,bus
Pedagogika texnikumi,,41.2990254,69.2122132,bus
АЁҚШ,,41.3178404,69.2299039,bus
Sanitariya-epidemiologiya stansiyasi,,41.2964222,69.2033179,bus
Sanitariya-epidemiologiya stansiyasi,,41.2955994,69.2011288,bus
Дустлик,,41.1955543,69.2151262,bus
,,41.1984829,69.2129618,bus
,,41.1991843,69.2127211,bus
Политех,,41.2091166,69.2300744,bus
Temiryo'lchilar san'at saroyi,,41.296486,69.285402,bus
ToshGRES mavzesi,,41.3589029,69.3396507,bus
,,41.3388506,69.3388368,bus
крестик остановка,,41.29318,69.3561852,bus
Галантерея,,41.2950396,69.3609492,bus
,,41.2969202,69.3649997,bus
,,41.2969847,69.3655791,bus
Yunusobod dahasi 11-mavze,,41.3734883,69.2951684,bus
Kimyo instituti,,41.3344815,69.3348604,bus
Kimyo instituti,,41.3348482,69.3355152,bus
Musavvirlar ko'chasi,,41.329745,69.3298634,bus
Musavvirlar ko'chasi,,41.3302528,69.3306638,bus
Fedorovich nomli sanatoriyasi,,41.2997528,69.2828227,bus
,,41.3045904,69.2812478,bus
,,41.2714819,69.3508149,bus
,,41.2716027,69.3509546,bus
,,41.2881992,69.3505285,bus
2 проезд Бешарык,,41.2887209,69.3531433,bus
,,41.290447,69.3569474,bus
М-в Тузель 1 кв,,41.3001435,69.3602058,bus
,,41.3510506,69.324196,bus
,,41.3510526,69.3309096,bus
,,41.3513193,69.3289901,bus
,,41.3508193,69.3243576,bus
,,41.3481572,69.3382749,bus
,,41.3474746,69.3388597,bus
,,41.2444602,69.3094759,bus
Qo'yliq dahasi 2-mavze,,41.2517222,69.3016164,bus
Qo'yliq dahasi 2-mavze,,41.2519864,69.3017346,bus
Pochta,,41.2518497,69.3227194,bus
Tolariq ko'chasi,,41.2550687,69.3208829,bus
Tolariq ko'chasi,,41.2561057,69.3204851,bus
Jarqo'rg'on ko'chasi,,41.2666552,69.3156909,bus
Vagon deposi,,41.2690735,69.257825,bus
завод Алгоритм,,41.2609848,69.1657979,bus
TashMU-1,,41.3072384,69.298913,bus
Chilonzor dahasi 9-mavze,,41.2870973,69.2048051,bus
,,41.3113361,69.2590548,bus
Farhod yarmarkasi,,41.2836876,69.1906245,bus
Farhod bozori,,41.2859376,69.1851969,bus
,,41.3216378,69.2778713,bus
Yuridik universiteti,,41.3155572,69.2808057,bus
Урикзор базар,,41.2584605,69.3571237,bus
Aliyev ko'chasi,,41.2776048,69.2743528,bus
Абдулла Кодири,,41.3296135,69.2471668,bus
,,41.3395985,69.286267,bus
Pedagogika texnikumi,,41.2993227,69.2120712,bus
площадь Актепе,,41.2994713,69.2092437,bus
,,41.3020732,69.2117165,bus
Мебельный магазин,,41.2992936,69.2093305,bus
Pedagogika texnikumi,,41.3005675,69.2118673,bus
Pedagogika texnikumi,,41.300524,69.2133003,bus
,,41.2447733,69.1660224,bus
Chimyon do'koni,,41.3503029,69.3515647,bus
Кинотеатр Казахстан,,41.329316,69.2835135,bus
Maishiy xizmat uyi,,41.3796813,69.2969979,bus
Chilonzor dahasi 11-mavze,,41.2817734,69.1936074,bus
